中文电影名,英文电影名,其他电影名,评分
沉默的羔羊,The Silence of the Lambs,沉默的羔羊,8.9
禁闭岛,Shutter Island,不赦岛(港)  /  隔离岛(台),8.8
低俗小说,Pulp Fiction,危险人物(港)  /  黑色追缉令(台),8.9
蝴蝶效应,The Butterfly Effect,蝴蝶效应,8.8
心灵捕手,Good Will Hunting,骄阳似我(港)  /  心灵捕手,8.9
布达佩斯大饭店,The Grand Budapest Hotel,布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),8.9
七宗罪,Se7en,火线追缉令(台)  /  7宗罪,8.8
春光乍泄,春光乍洩,一起快乐  /  Happy Together,8.9
哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,哈利波特7：死神的圣物2(港 / 台) ,8.9
摩登时代,Modern Times,The Masses  /  Les Temps modernes,9.3
被嫌弃的松子的一生,嫌われ松子の一生,花样奇缘(港)  /  令人讨厌的松子的一生(台),8.9
喜剧之王,喜劇之王,King of Comedy,8.8
致命ID,Identity,杀人游戏  /  致命身份,8.8
杀人回忆,살인의 추억,谋杀回忆  /  杀手回忆录,8.9
剪刀手爱德华,Edward Scissorhands,幻海奇缘(港)  /  剪刀手爱德华,8.7
加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),8.8
勇敢的心,Braveheart,惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),8.9
狩猎,Jagten,诬网(港)  /  谎言的烙印(台),9.1
请以你的名字呼唤我,Call Me by Your Name,以你的名字呼唤我(港 / 台) ,8.9
红辣椒,パプリカ,盗梦侦探(港 / 台) ,9.0
断背山,Brokeback Mountain,断臂山  /  BBM,8.8
天使爱美丽,Le fabuleux destin d'Amélie Poulain,艾蜜莉的异想世界(台)  /  天使艾米莉,8.7
7号房的礼物,7번방의 선물,戆爸的礼物(港)  /  7号囚房的礼物,8.9
幽灵公主,もののけ姫,魔法公主(港)  /  幽灵少女,8.9
小森林 夏秋篇,リトル・フォレスト 夏・秋,小森食光 / 夏秋篇(台) ,9.0
第六感,The Sixth Sense,鬼眼(港)  /  灵异第六感(台),8.9
阳光灿烂的日子,In the Heat of the Sun,-,8.8
重庆森林,重慶森林,Chungking Express,8.8
唐伯虎点秋香,唐伯虎點秋香,Flirting Scholar,8.7
超脱,Detachment,人间师格(台),8.9
功夫,功夫3D  /  Kung Fu Hustle,-,8.7
爱在黎明破晓前,Before Sunrise,情留半天(港)  /  爱在黎明破晓时(台),8.8
小森林 冬春篇,リトル・フォレスト 冬・春,小森食光 / 冬春篇(台) ,9.0
入殓师,おくりびと,礼仪师之奏鸣曲(港)  /  礼仪师(台),8.9
一一,Yi yi  /  Yi yi: A One and a Two,-,9.1
蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台),8.8
消失的爱人,Gone Girl,失踪的女孩  /  失踪女孩,8.7
人生果实,人生フルーツ,积存时间的生活(台)  /  人生水果,9.5
菊次郎的夏天,菊次郎の夏,菊次郎之夏  /  Kikujirô no natsu,8.8
无人知晓,誰も知らない,谁知赤子心(港)  /  无人知晓的夏日清晨(台),9.1
倩女幽魂,倩女幽魂(87版)  /  倩女幽魂：妖魔道,-,8.7
超能陆战队,Big Hero 6,大英雄联盟(港)  /  大英雄天团(台),8.7
侧耳倾听,耳をすませば,心之谷(台)  /  梦幻街少女(港),8.9
哈利·波特与阿兹卡班的囚徒,Harry Potter and the Prisoner of Azkaban,哈利波特3：阿兹卡班的逃犯(港 / 台) ,8.8
甜蜜蜜,Comrades: Almost a Love Story,-,8.9
借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),8.8
完美的世界,A Perfect World,强盗保镳,9.1
萤火之森,蛍火の杜へ,萤火之社  /  Hotarubi no mori e,8.9
爱在日落黄昏时,Before Sunset,日落巴黎(港)  /  爱在日落巴黎时(台),8.8
驯龙高手,How to Train Your Dragon,驯龙记(港),8.7
玛丽和马克思,Mary and Max,巧克力情缘(台)  /  同是天涯寂寞客,8.9
幸福终点站,The Terminal,机场客运站(港)  /  航站情缘(台),8.8
告白,自白  /  母亲,-,8.7
大鱼,Big Fish,大鱼奇缘(港)  /  大智若鱼(台),8.8
射雕英雄传之东成西就,射鵰英雄傳之東成西就,东成西就  /  大英雄 (日本),8.7
阳光姐妹淘,써니,阳光姊妹淘(港)  /  桑尼,8.8
天书奇谭,The Legend of Sealed Book  /  Secrets of the Heavenly Book,-,9.2
恐怖直播,더 테러 라이브,死亡“动”新闻(港)  /  恐怖攻击直播(台),8.7
怪兽电力公司,"Monsters, Inc.",怪兽公司(港)  /  怪物公司,8.7
哈利·波特与密室,Harry Potter and the Chamber of Secrets,哈利波特2：消失的密室(港 / 台) ,8.7
神偷奶爸,Despicable Me,卑鄙的我  /  坏蛋奖门人(港),8.6
时空恋旅人,About Time,时空旅恋人  /  回到最爱的一天(港),8.8
玩具总动员3,Toy Story 3,反斗奇兵3(港)  /  玩具的故事3,8.9
傲慢与偏见,Pride & Prejudice,傲慢与偏见2005  /  Pride And Prejudice,8.7
教父3,The Godfather: Part III,教父第三集  /  教父 III,8.9
釜山行,부산행,尸杀列车(港)  /  尸速列车(台),8.6
血战钢锯岭,Hacksaw Ridge,钢锯岭  /  钢铁英雄(台),8.7
哪吒闹海,Prince Nezha's Triumph Against Dragon King  /  Nezha Conquers the Dragon King,-,9.1
一个叫欧维的男人决定去死,En man som heter Ove,明天别再来敲门(台)  /  想死冇咁易(港),8.9
被解救的姜戈,Django Unchained,被解放的姜戈  /  决杀令(台),8.8
七武士,七人の侍,七侠四义(港)  /  七剑客(港),9.3
喜宴,囍宴,The Wedding Banquet,8.9
电锯惊魂,Saw,恐惧斗室(港)  /  夺魂锯(台),8.7
头号玩家,Ready Player One,玩家一号  /  挑战者1号(港),8.7
我是山姆,I Am Sam,不一样的爸爸(港)  /  他不笨，他是我爸爸(台),8.9
风之谷,風の谷のナウシカ,风谷少女  /  Kaze no tani no Naushika,8.9
未麻的部屋,Perfect Blue,蓝色恐惧(港 / 台) ,9.0
英雄本色,A Better Tomorrow  /  Gangland Boss,-,8.7
上帝之城,Cidade de Deus,无主之城 (港)  /  无法无天 (台),9.0
疯狂原始人,The Croods,古鲁家族(港 / 台) ,8.7
谍影重重3,The Bourne Ultimatum,叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台),8.8
卢旺达饭店,Hotel Rwanda,卢安达饭店(台),8.9
三块广告牌,"Three Billboards Outside Ebbing, Missouri",广告牌杀人事件(港)  /  意外(台),8.7
纵横四海,緃横四海,Once a Thief,8.8
花样年华,花樣年華,In the Mood for Love,8.7
新世界,신세계,暗黑新世界(台)  /  New World,8.9
模仿游戏,The Imitation Game,解码游戏(港)  /  模拟游戏,8.7
达拉斯买家俱乐部,Dallas Buyers Club,续命枭雄(港)  /  药命俱乐部(台),8.8
岁月神偷,歲月神偷,1969太空漫游  /  Echoes Of The Rainbow,8.7
